AccSpeciesName,Unnamed: 0,OrigValueStr
Acacia cyclops,97076,0.5
Acacia cyperophylla,148863,0
Acacia dallachiana,148864,0
Acacia dawsonii,148865,0
Acacia dealbata,62948.8,0.6
Acacia deanei,68031.75,1
Acacia deanei paucijuga,4092.5,1
Acacia deanei subsp. paucijuga,63940,1
Acacia decora,57512.25,1
Acacia decurrens,148866,0
Acacia deficiens,148867,0
Acacia desmondii,41819,1
Acacia dictyoneura,148869,0
Acacia dictyophleba,148870,0
Acacia difficilis,4097,1
Acacia difformis,148872,0
Acacia diffusa,142364,0
Acacia dimidiata,39916.57143,1
Acacia discolor,149390,0
Acacia dodonaeifolia,148873,0
Acacia doratoxylon,37199.13636,1
Acacia drummondii,149391,0
Acacia dudgeoni,149392,0
Acacia dunnii,155043,0
Acacia echinula,155044,0
Acacia elata,55292,1
Acacia elongata,55585,1
Acacia elongate,4110,1
Acacia errabunda,148876,0
Acacia estrophiolata,41826.66667,1
Acacia euthycarpa,149393,0
Acacia excelsa,68623.75,1
Acacia extensa,148879,0
Acacia falcata,72734.33333,1
Acacia falciformis,148880,0
Acacia farnesiana,60964.31818,0.272727273
Acacia filicifolia,148882,0
Acacia filifolia,148883,0
Acacia fimbriata,143664,0
Acacia flavescens,155203.6667,0.666666667
Acacia fleckii,110593.4286,0
Acacia flexifolia,148885,0
Acacia flocktoniae,148886,0
Acacia floribunda,41086.47059,1
Acacia fulva,155045,0
Acacia genistifolia,31969.25,1
Acacia georgensis,145214,0
Acacia georginae,41833.66667,1
Acacia gerrardii,93200.8,0.4
Acacia gerrardii var. gerrardii,68990,1
Acacia giraffae,149396,0
Acacia gladiiformis,148887,0
Acacia glandulicarpa,148888,0
Acacia glaucescens,149373,0
Acacia glaucocarpa,148889,0
Acacia glomerosa,47588.5,1
Acacia gnidium,148890,0
Acacia gonocarpa,4129,1
Acacia gordonii,148891,0
Acacia gracilifolia,140108,1
Acacia graffiana,149397,0
Acacia granitica,148892,0
Acacia grasbyi,148893,0
Acacia gunnii,148894,0
Acacia hakeoides,56681.42857,1
Acacia hamulosa,148895,0
Acacia harpophylla,4135,1
Acacia havilandii,85203,1
Acacia havilandiorum,42811.0625,1
Acacia hemignosta,148897,0
Acacia hemiteles,148898,0
Acacia hemsleyi,148899,0
Acacia heteroclita,149398,0
Acacia hispidula,148900,0
Acacia holosericea,54682.625,1
Acacia homalophylla,67451.8,1
Acacia horrida,155080,0
Acacia howittii,148902,0
Acacia huegelii,42503,1
Acacia humifusa,148903,0
Acacia implexa,87348,1
Acacia inaequilatera,148904,0
Acacia ingramii,143671,0
Acacia insolita,148905,0
Acacia irrorata,58640.2,1
Acacia irrorata  irrorata,19101.5,1
Acacia iteaphylla,148906,0
Acacia ixiophylla,148907,0
