AccSpeciesName,Unnamed: 0,OrigValueStr
Distemonanthus,156839,1
Distemonanthus benthamianus,80034.4,0.4
Distylium myricoides,65997.14286,0.571428571
Distylium racemosum,56995.5,1
Dittrichia graveolens,18260,0
Dittrichia viscosa,90082.33333,1
Dittrichia viscosa subsp. viscosa,1794,1
Dobera glabra,145752,1
Docynia delavayi,154750,1
Dodecastigma integrifolium,78176,1
Dodecastigma uleanum,66769.25,1
Dodonaea,71326.66667,1
Dodonaea filifolia,67400,1
Dodonaea peduncularis,66519.8,1
Dodonaea physocarpa,158393,1
Dodonaea triangularis,66410,1
Dodonaea triquetra,38915.94444,1
Dodonaea viscosa,42483.08511,1
Dodonaea viscosa subsp. angustissima,46016.69231,1
Dodonaea viscosa subsp. cuneata,33474.94737,1
Dodonaea viscosa subsp. viscosa,65898,1
Dodonaea viscosacuneata,157498,1
Doellingeria scabra,74767,0
Dolichandra unguis-cati,73337.95238,1
Dolichandrone alba,143343,0
Dolichandrone atrovirens,154869,0
Dolichandrone filiformis,77503.5,1
Dolichandrone serrulata,147285,0
Dolicholobium,143147,1
Doliocarpus,135634,1
Doliocarpus dentatus,55328.21429,1
Doliocarpus major,67186.75,1
Doliocarpus multiflorus,65662,1
Doliocarpus olivaceus,65888,1
Dombeya,110664.5,0.5
Dombeya kirkii,54689.16667,1
Dombeya rotundifolia,120409.6667,0
Dombeya torrida,153556,0
Donax,138057,1
Donax canniformis,138064,1
Donella,145763,1
Dontostemon integrifolius,66523.4,0.2
Dontostemon senilis,137752,0
Doona,154972,1
Doronicum austriacum,77714.5,0.5
Doronicum clusii,73422,0
Doronicum columnae,77715.5,1
Doronicum glaciale,77716.5,1
Doronicum grandiflorum,77717.5,1
Doronicum macrophyllum,127264.75,0
Doronicum pardalianches,17805,0
Dorycnium herbaceum,77885,1
Dorycnium hirsutum,29021.28571,0.428571429
Dorycnium pentaphyllum,29979.66667,0.25
Dorycnium pentaphyllum subsp. germanicum,24207.33333,0.333333333
Dorycnium pentaphyllum subsp. gracile,54598,0
Dorycnium pentaphyllum subsp. herbaceum,54599,0
Dorycnium pentaphyllum subsp. pentaphyllum,28196.5,0.5
Dorycnium spectabile,44231,0
Doryphora aromatica,101040.5,1
Doryphora sassafras,58589.69231,1
Dovyalis abyssinica,99859.5,0.5
Dovyalis hebecarpa,145700,1
Dovyalis longispina,48058.28571,1
Dovyalis macrocalyx,65117.66667,0
Dovyalis rotundifolia,157490,1
Draba aizoides,17809,0
Draba asprella,42382,0
Draba aurea,47371,0
Draba dubia,77781.5,0.5
Draba fladnizensis,77782.5,0.5
Draba hoppeana,138623,1
Draba muralis,17812,1
Draba sauteri,77784,0.5
Draba siliquosa,110662.1429,0.857142857
Draba subamplexicaulis,137757,0
Draba tomentosa,77786.5,0.5
Dracaena,146078,1
Dracaena angustifolia,141819,1
Dracaena braunii,146394,1
Dracaena draco,54316,0
Dracaena elliptica,141821,1
Dracocephalum,69952.83333,0.166666667
Dracocephalum argunense,48020.5,0.25
Dracocephalum grandiflorum,138473,0
Dracocephalum moldavica,72877.5,0
Dracocephalum parviflorum,42383,0
Dracocephalum ruyschiana,17816,0
Dracontomelon,146532,1
Dracontomelon dao,146551,1
Dracontomelon macrocarpum,65408.2,1
Dracophilus dealbatus,76911,0
Dracophyllum,143559,1
Dracophyllum adamsii,141778,1
Dracophyllum arboreum,155008,1
Dracophyllum filifolium,57599,1
Dracophyllum fitzgeraldii,148599,1
Dracophyllum latifolium,141779,1
Dracophyllum longifolium,101818.5455,1
Dracophyllum oliveri,155009,1
Dracophyllum palustre,86955.33333,1
Dracophyllum pronum,98747,1
Dracophyllum prostratum,44226.14286,1
Dracophyllum pubescens,57604,1
Dracophyllum recurvum,57605,1
Dracophyllum sayeri,139894,1
Dracophyllum scoparium,155010,1
Dracophyllum secundum,141780,1
Dracophyllum strictum,99927.5,1
Dracophyllum subulatum,99928.5,1
Dracophyllum traversii,139895,1
Dracophyllum uniflorum,41469.54545,1
Dracophyllum verticillatum,155011,1
Drapetes ericoides,60822,1
Dregea abyssinica,71917,1
Dregea volubilis,72239,1
Drepananthus biovulatus,146779,1
Drepananthus magnificus,1251.5,1
Drepananthus ramuliflorus,146778,1
Drimia maritima,105611.5,0.5
Drimycarpus racemosus,143232,1
Drimys,144950,1
Drimys brasiliensis,68739.5,1
Drimys granadensis,46827.3,1
Drimys granatensis,154314,1
Drimys insipida,64141.07692,1
Drimys lanceolata,83534,1
Drimys winteri,37889.08,1
Driopteris,136829,1
Drosanthemum,53936.33333,0
Drosanthemum uniflorum,77030,0
Drosera,72800.2,0.4
Drosera anglica,77858,0.5
Drosera intermedia,30564,0
Drosera obovata,138742,1
Drosera peltata,72825.5,1
Drosera rotundifolia,44994.66667,0
Dryadodaphne novoguineensis,153172,1
Dryandra,99239.5,1
Dryandra arborea,143141,1
Dryandra armata,140674,1
Dryandra carlinoides,140675,1
Dryandra catoglypta,140676,1
Dryandra cirsioides,95799,1
Dryandra corvijuga,140678,1
Dryandra cuneata,140679,1
Dryandra cynaroides,82348,1
Dryandra drummondii,140681,1
Dryandra ferruginea,140682,1
Dryandra foliosissima,140683,1
Dryandra formosa,142671,1
Dryandra fraseri,140684,1
Dryandra kippistiana,142672,1
Dryandra longifolia,140685,1
Dryandra mucronulata,140686,1
Dryandra nivea,82570,1
Dryandra nobilis,140688,1
Dryandra pallida,140689,1
Dryandra polycephala,142673,1
Dryandra pseudoplumosa,140690,1
Dryandra quercifolia,140691,1
Dryandra serra,140692,1
Dryandra sessilis,44984.25,1
Dryandra shuttelworthiana,142674,1
Dryandra speciosa,143038,1
Dryandra tridentata,142675,1
Dryandra trifontinalis,140693,1
Dryandra vestita,50923,1
Dryas,70455.66667,1
Dryas integrifolia,85133.64286,0.892857143
Dryas octopetala,60326.37209,0.976744186
Drymaria cordata,137817,1
Drymaria leptophylla,42384,0
Drymaria molluginea,42385,0
Drymis,156645,1
Drymocallis rupestris,31230,0
Drynaria,136750,1
Drynaria quercifolia,136764,1
Drynaria sparsisora,136765,1
Dryobalanops,154965,1
Dryobalanops beccarii,148055,1
Dryobalanops fusca,148056,1
Dryobalanops keithii,148057,1
Dryobalanops lanceolata,52524,1
Dryobalanops oblongifolia,148059,1
Dryobalanops rappa,148060,1
Dryobalanops sumatrensis,38347.39394,1
Dryopteris,136720,1
Dryopteris affinis,17821,1
Dryopteris carthusiana,43174.4,0.4
Dryopteris crassirhizoma,48164.5,0.25
Dryopteris cristata,30866.5,0.5
Dryopteris dilatata,24797.2,0.2
Dryopteris expansa,30869,0
Dryopteris filix-mas,19000.5,0.5
Dryopteris goldiana,73050,0
Dryopteris intermedia,73051,0
Dryopteris marginalis,73052,0
Dryopteris mindshelkensis,17829,0
Dryopteris oreades,35289,0
Dryopteris remota,17828,0
Dryopteris submontana,43909,0
Drypetes,70437,1
Drypetes alba,63846.66667,1
Drypetes amazonica,64272,1
Drypetes angustifolia,63555,1
Drypetes arguta,46873.71429,1
Drypetes aubrevillei,152230,1
Drypetes brownii,152231,1
Drypetes crassipes,152232,1
Drypetes cumingii,71331,1
Drypetes deplanchei,59368,1
Drypetes dinklagei,63486.5,1
Drypetes gentryi,111565.5,1
Drypetes gerrardii,81809.2,1
Drypetes glauca,80600,0.4
Drypetes globosa,152236,1
Drypetes gossweileri,63471,1
Drypetes hainanensis,152237,1
Drypetes indica,97479.25,1
Drypetes kikir,152238,1
Drypetes lateriflora,65668.33333,1
Drypetes longifolia,152248,1
Drypetes macrostigma,152241,1
Drypetes medium,70500,1
Drypetes minahassae,152242,1
Drypetes molunduana,63332.5,1
Drypetes mossambicensis,144119,0
Drypetes mucronata,152243,1
Drypetes natalensis,52700.11111,1
Drypetes neglecta,152245,1
Drypetes ovalis,152246,1
Drypetes paxii,63473.5,1
Drypetes pendula,152247,1
Drypetes polyneura,152248,1
Drypetes reticulata,63246.5,1
Drypetes sibuyanensis,152249,1
Drypetes simalurensis,152250,1
Drypetes standleyi,50125.75,1
Drypetes subcubica,152252,1
Drypetes subsymmetrica,152253,1
Drypetes usambarica,63435,1
Drypetes variabilis,57613.85714,0.428571429
Duabanga,150267,0
Duabanga grandiflora,126579.6667,1
Duabanga moluccana,103953.5,1
Dubautia arborea,46766,1
Dubautia ciliolata,47572.94595,1
Dubautia ciliolata subsp. ciliolata,66974,1
Dubautia herbstobatae,46514,1
Dubautia kalalauensis,46505,1
Dubautia knudsenii,46469.89655,1
Dubautia laxa,46440.33333,1
Dubautia linearis,46808.5,1
Dubautia menziesii,46608.5,1
Dubautia paleata,46407.5,1
Dubautia platyphylla,46581,1
Dubautia raillardiodes,46442.5,1
Dubautia reticulata,46626,1
Dubautia scabra,47617.5,1
Duboisia hopwoodii,68121.5,1
Duboisia myoporoides,52205.42857,1
Duchesnea indica,28203.5,0.5
Duckesia verrucosa,149781,1
Dudleya attenuata,146326,1
Dudleya collomiae,146300,1
Dudleya cultrata,146327,1
Dudleya ingens,146328,1
Duguetia,74957,1
Duguetia cadaverica,66983,1
Duguetia cortaten,157065,1
Duguetia echinophora,73394.8,1
Duguetia flagellaris,81297.5,1
Duguetia furfuracea,54874,1
Duguetia hadrantha,53449.66667,1
Duguetia lanceolata,146675,1
Duguetia lucida,62412.5,1
Duguetia odorata,53468.66667,1
Duguetia quitarensis,53470,1
Duguetia riparia,77239.5,1
Duguetia spixiana,55977,1
Duguetia staudtii,157053,1
Duguetia stenantha,70853,1
Duguetia surinamensis,62117,1
Duguetia trunciflora,77243.5,1
Dulacia candida,57649,1
Duma florulenta,67556,0
Dunalia spinosa,72739,0
Dunbaria,71907,1
Duosperma kilimandscharicum,63384,1
Duparquetia,156840,1
Dupontia fisheri,80162,0
Durandea jenkinsii,71849,1
Duranta erecta,143194,1
Durio,150343,1
Durio dulcis,150384,1
Durio griffithii,150385,1
Durio kutejensis,57651,1
Durio zibethinus,114970.6538,1
Duroia,144425,1
Duroia eriopila,63849.25,1
Duroia fusifera,80103.5,1
Duroia hirsuta,108655,1
Duroia longiflora,98611.5,1
Duroia macrophylla,80105,1
Dussia,78308.5,1
Dussia cuscatlanica,53809.33333,0
Dussia discolor,156429,0
Dussia macroprophyllata,56953.14286,0.142857143
Dussia mexicana,35654.30769,0.230769231
Dussia munda,52478.88889,1
Dussia pelosblancos,57657,1
Dyckia floribunda,146092,1
Dyckia leptostachya,137795,1
Dyckia tuberosa,138665,1
Dyera,157532,1
Dyera costulata,77328.5,1
Dypsis,157152,1
Dypsis ampasindavae,157324,1
Dypsis decaryi,157248,1
Dypsis lutescens,145228.5,1
Dypsis madagascariensis,157249,1
Dypsis nodifera,156637,0
Dypsis scottiana,156638,0
Dysoxylum,87090.5,1
Dysoxylum alliaceum,144620,1
Dysoxylum arborescens,107215,1
Dysoxylum cauliflorum,150628,1
Dysoxylum excelsum,128317.8333,1
Dysoxylum fraserianum,71248.8,1
Dysoxylum gotadhora,70087.5,1
Dysoxylum grande,85938.2,1
Dysoxylum hongkongense,89718,1
Dysoxylum lenticellare,156773,1
Dysoxylum macrocarpum,144622,1
Dysoxylum mollissimum,71250.2,1
Dysoxylum pachyphyllum,156774,1
Dysoxylum papuanum,71435.25,1
Dysoxylum parasiticum,31130,1
Dysoxylum pettigrewianum,104148,1
Dysoxylum rufum,71592.75,1
Dysphania ambrosioides,17591,0
Dysphania aristata,48642.5,0.25
Dysphania botrys,17595,0
Dysphania pumilio,17606,0
Dysphania schraderiana,17608,0
Dystovomita paniculata,53591.83333,1
Ebenopsis ebano,41976,1
Eberlanzia stylosa,77118.5,0
Ecballium elaterium,43934,0
Ecbolium ligustrinum,139330,1
Ecclinusa,145076.5,1
Ecclinusa angostaestipul,157782,1
Ecclinusa guianensis,72543.25,1
Ecclinusa lanceolata,91804.66667,1
Ecclinusa obovata,157783,1
Ecclinusa psilophylla,152813,1
Ecclinusa ramiflora,91909.75,1
Ecclinusa tenuifolia,157784,1
Ecclinusa ulei,156107,1
Echeandia flavescens,42386,0
Echeveria,146313,1
Echeveria bifida,146134,1
Echeveria crassicaulis,146135,1
Echinacea angustifolia,73917,0
Echinacea purpurea,74297,0
Echinocereus engelmannii,53910,1
Echinochloa,137071,1
Echinochloa colona,137306,1
Echinochloa colonum,137282,1
Echinochloa crus-galli,39004.8,0
Echinochloa crusgalli,48284.5,0.25
Echinochloa muricata,17832,0
Echinocystis lobata,17833,0
Echinolaena inflexa,7837,1
Echinopogon caespitosus,72503,1
Echinops,47612.5,0.25
Echinops bannaticus,17834,0
Echinops exaltatus,17835,0
Echinops gmelinii,53851.2,0.2
Echinops latifolius,74929,0
Echinops ritro,35272.75,0
Echinops sphaerocephalus,17836,0
Echinops spinosissimus,61699.5,1
Echinospartum horridum,97088,0.5
Echinostephia aculeata,67919,1
Echium aculeatum,139666,1
Echium plantagineum,84200,0
Echium vulgare,20998,0.5
Echium wildpretii,137726,1
Ecualyptus grandis,119775.8788,1
Edgeworthia tomentosa,142967,0
Efulensia clematoides,50632.25,1
Ehretia,143354,1
Ehretia acuminata,52134.8,0
Ehretia amoena,143356,0
Ehretia anacua,41908,1
Ehretia cortesia,137733,0
Ehretia macrophylla,42672,0
Ehretia obtusifolia,143357,0
Ehretia rigida,143358,0
Ehrharta juncea,76770,1
Ehrharta stipoides,109867.3529,0.941176471
Eichhornia crassipes,116974.75,1
Eidothea hardeniana,72844.75,1
Eidothea zoexylocarya,153954,1
Einadia hastata,69310.5,1
Einadia nutans,64569.16667,1
Ekebergia capensis,54531.55,1
Elachyptera parvifolia,71998,1
Elaeagnus,143534,1
Elaeagnus angustifolia,82204.5,0.027777778
Elaeagnus commutata,35690.5,0
Elaeagnus glabra,64512.5,1
Elaeagnus henryi,55963.6,0.4
Elaeagnus macrophylla,53425,1
Elaeagnus mollis,53426,1
Elaeagnus multiflora,76360.42857,0
Elaeagnus pungens,73948.44444,1
Elaeagnus rhamnoides,43974.34091,0
Elaeagnus triflora,7851.5,0
Elaeagnus umbellata,88498.6,0
Elaeis,146955,1
Elaeis guineensis,111261.5714,1
Elaeis oleifera,81381.6,1
Elaeocarpus,148496,1
Elaeocarpus angustifolius,81961.57534,1
Elaeocarpus arfakensis,143549,1
Elaeocarpus arnhemicus,78181.5,1
Elaeocarpus bancroftii,148505,1
Elaeocarpus bifidus,57683,1
Elaeocarpus chelonimorphus,57684,1
Elaeocarpus chinensis,148506,1
Elaeocarpus coorangooloo,143542,1
Elaeocarpus dentatus,97987.90909,1
Elaeocarpus dubius,137129.5,1
Elaeocarpus eumundi,71037.25,1
Elaeocarpus ferrugineus,148548,1
Elaeocarpus floribundus,148511,1
Elaeocarpus floridanus,155006,1
Elaeocarpus foveolatus,148512,1
Elaeocarpus glaber,148513,1
Elaeocarpus glabripetalus,55533.6,0.4
Elaeocarpus heterophyllus,62815.75,1
Elaeocarpus hookerianus,55249.85,1
Elaeocarpus japonicus,60113.4,0.7
Elaeocarpus johnsonii,148515,1
Elaeocarpus kirtonii,70811.4,1
Elaeocarpus lanceifolius,148517,1
Elaeocarpus largiflorens,148518,1
Elaeocarpus longifolius,148519,1
Elaeocarpus macrocerus,148520,1
Elaeocarpus macrophyllus,148521,1
Elaeocarpus mastersii,148522,1
Elaeocarpus mutabilis,50205.33333,1
Elaeocarpus nitidus,148587,1
Elaeocarpus obovatus,58368.6,1
Elaeocarpus obtusus,148525,1
Elaeocarpus obtusus subsp. apiculatus,148591,1
Elaeocarpus palembanicus,143546.5,1
Elaeocarpus petiolatus,148526,1
Elaeocarpus photiniifolia,57693,1
Elaeocarpus pierrei,148527,1
Elaeocarpus ptilanthus,39201.625,1
Elaeocarpus punctatus,148529,1
Elaeocarpus quadrilobus,148569,1
Elaeocarpus reticulatus,67987.33333,1
Elaeocarpus rugosus,113888,1
Elaeocarpus ruminatus,148530,1
Elaeocarpus sayeri,86052,1
Elaeocarpus sericopetalus,148532,1
Elaeocarpus serratus,148586.5,1
Elaeocarpus sp Rocky Creek,38982,1
Elaeocarpus stipularis,148533,1
Elaeocarpus stipularis var. brevipes,143554,1
Elaeocarpus submonoceras,148534,1
Elaeocarpus subserratus,143552,1
Elaeocarpus sylvestris,97623.91667,1
Elaeocarpus tectorius,148588,1
Elaeocarpus teysmannii,148536,1
Elaeocarpus tuberculatus,148537,1
Elaeocarpus varunua,79225,1
Elaeocarpus wrayi,143544,1
Elaeodendron,72354.5,0.5
Elaeoluma,145764,1
Elaeoluma glabrescens,154068,1
Elaphoglossum alatum,57697,1
Elateriospermum tapos,45657.875,1
Elatine alsinastrum,77869.5,1
Elatine hexandra,17841,1
Elatine hydropiper,17842,0
Elatine triandra,77871.5,0.5
Elatostema,139061,1
Elatostema macrophllyum,138362,1
Elatostema platyphyla,138374,1
Elatostema platyphyllum,138363,1
Elatostema reticulatum,138364,1
Elatostema sessile,138365,1
Elatostema sinuatum,138366,1
Elatostema strigosum,138367,1
Elatostoma,138498,1
Elattostachys megalantha,156600,1
Elattostachys nervosa,72332.8,1
Elattostachys xylocarpa,72135,1
Eleagnus,139839,1
Eleagnus angustifolia,65103.5,0.5
Elegia grandis,137392,1
Eleocharis acicularis,17844,1
Eleocharis mamillata,136903,1
Eleocharis multicaulis,17845,1
Eleocharis ovata,77375,1
Eleocharis palustris,30580.5,0.5
Eleocharis parvula,77376.5,1
Eleocharis quinqueflora,17849,1
Eleocharis uniglumis,17850,1
Elephantopus,137577,1
Elephantopus mollis,137633,1
Elephantorrhiza praetermissa,142403,0
Elephantosis,156964,1
Elettaria cardamomum,138876,1
Elettaria surculosa,138410,1
Eleusine indica,61898.66667,0
Eleutherococcus cissifolius,142117,0
Eleutherococcus divaricatus,145140,0
Eleutherococcus giraldii,53779,0
Eleutherococcus henryi,99268,0
Eleutherococcus leucorrhizus,52432,0
Eleutherococcus nodiflorus,96439.5,0
Eleutherococcus senticosus,70118.61111,0
Eleutherococcus septemlobus,145144,0
Eleutherococcus sessiliflorus,53811.42857,0.142857143
Eleutherococcus sieboldianus,145142,0
Eleutherococcus spinosus,142113,0
Eleutherococcus stenophyllus,52433,0
Eleutherococcus trifoliatus,70803,0.166666667
Elizabetha speciosa,78519.5,1
Elliottia bracteata,142327,0
Elliottia paniculata,61886,0
Elliottia pyroliflora,140047,1
Elliottia racemosa,41955,0
Ellipanthus,143476,1
Ellipanthus beccarii,147916,1
Ellipanthus tomentosus,147917,1
Elmerrillia,155386,1
Elodea canadensis,22473.5,0
Elodea nuttallii,43317.5,1
Elsholtzia ciliata,17852,0
Elsholtzia stauntonii,47781.5,0.5
Elvasia,145393,1
Elvasia calophyllea,146474,1
Elvasia elvasioides,70775.75,1
Elymus,137072,0
Elymus athericus,24335,0
Elymus canadensis,76998.8,0.8
Elymus caninus,38924,0.8
Elymus elymoides,60297.75,0
Elymus farctus,17858,0
Elymus hispidus,17857,0
Elymus pungens,1518,0
Elymus repens,50769.06667,0.266666667
Elymus riparius,30819,0
Elymus smithii,50819.4,0
Elymus spicatus,88846.4,0
Elymus trachycaulus,36604,0
Elymus virginicus,30821,0
Elytranthe cochinchinensis,74978,1
Elytranthe tetrapetala,57704,1
Elytropus chilensis,57705,1
Embelia,135731,1
Embelia angustifolia,145444,1
Embelia australiana,70168,1
Embelia coriacea,135732,1
Embelia dasythyrsa,135733,1
Embelia grayi,71746,1
Embelia laeta,136098,1
Embelia multiflora,136099,1
Embelia ribes,135734,1
Embelia schimperi,85373.55556,1
Embelia upembensis,135735,1
Embelia vestita,62012.85714,0.571428571
Embelia xylocarpa,135736,1
Embothrium,145472,1
Embothrium coccineum,49239.11765,1
Emilia coccinea,137634,1
Emilia sonchifolia,136056,1
Emmenosperma alphitonoides,71602.4,1
Emmotum acuminatum,71608.25,1
Emmotum floribundum,77821.66667,1
Emmotum nitens,135897,0
Empetrum,139852,1
Empetrum nigrum,73213.49412,1
Empetrum nigrum subsp. hermaphroditum,36758.2,1
Empetrum rubrum,69401.25,1
Empodisma minus,13255.33333,1
Empogona crepiniana,65586,1
Empogona kirkii,65503,1
Empogona ovalifolia,65367,1
Encelia asperifolia,52646,1
Encelia californica,45576.66667,0.833333333
Encelia canescens,51789.33333,1
Encelia farinosa,39549.125,0.916666667
Encelia frutescens,47357.6,1
Encelia halimifolia,52655.66667,1
Encelia palmeri,52657.33333,1
Encelia virginensis,43610.2,1
Encephalartos,156624,1
Encephalartos ferox,156626,1
Encephalartos manikensis,156627,1
Encholirium spectabile,138666,1
Enchylaena tomentosa,60544.92857,1
Endiandra,149896,1
Endiandra acuminata,153309,1
Endiandra bessaphila,153310,1
Endiandra bullata,153311,1
Endiandra clavigera,75453.5,1
Endiandra compressa,71380.25,1
Endiandra cowleyana,153312,1
Endiandra crassiflora,105516,1
Endiandra dichrophylla,153314,1
Endiandra dielsiana,153315,1
Endiandra discolor,71124.6,1
Endiandra firma,153316,1
Endiandra floydii,72690.75,1
Endiandra glauca,153317,1
Endiandra globosa,71126.2,1
Endiandra hainanensis,153318,1
Endiandra hayesii,72173.8,1
Endiandra hypotephra,153319,1
Endiandra insignis,153320,1
Endiandra introrsa,72743,1
Endiandra kingiana,153321,1
Endiandra laxiflora,153322,1
Endiandra leptodendron,62615.8,1
Endiandra longipedicellata,153323,1
Endiandra macrophylla,958,1
Endiandra maingayi,153324,1
Endiandra microneura,62616.8,1
Endiandra monothyra,153325,1
Endiandra montana,153326,1
Endiandra muelleri,70983.66667,1
Endiandra palmerstonii,154273,1
Endiandra pubens,70984.66667,1
Endiandra rubescens,153328,1
Endiandra sankeyana,153329,1
Endiandra sideroxylon,153330,1
Endiandra sieberi,153331,1
Endiandra wolfei,153332,1
Endiandra xanthocarpa,153333,1
Endlicheria,104138.5,1
Endlicheria bracteolata,153334,1
Endlicheria canescens,153462,1
Endlicheria cocuirey,153335,1
Endlicheria dysodantha,63046.75,1
Endlicheria formosa,59187.14286,1
Endlicheria gracilis,81579,1
Endlicheria krukovii,54137.66667,1
Endlicheria lhotzkyi,155221,1
Endlicheria multiflora,153336,1
Endlicheria paniculata,55902.14286,1
Endlicheria punctulata,149992,1
Endlicheria sericea,55146.33333,1
Endlicheria tessmannii,54141.33333,1
Endlicheria tschudyana,57735,1
Endlicheria williamsii,54207.83333,1
Endocomia canarioides,151029,1
Endocomia macrocoma subsp. prainii,72118.25,1
Endopleura,143784,1
Endopleura uchi,70934,1
Endospermum,143588,1
Endospermum diadenum,90311.79545,1
Endospermum moluccanum,148673,1
Engelhardia,149834,1
Engelhardia roxburghiana,102164.5,1
Engelhardia spicata,149863,1
Engelhardtia,149835,1
Engelhardtia chrysolepis (E. roxburghiana),7950,1
Engelhardtia roxburghiana,51962.36364,0.727272727
Engelhardtia spicata,149848,1
Engelia,52942.33333,1
Englerophytum,156026,1
Englerophytum congolense,156040,1
Englerophytum magalismontanum,68802,1
Englerophytum natalense,65859.46154,1
Englerophytum oblanceolatum,109490,1
Englerophytum stelechantha,156042,1
Enkianthus deflexus,156289,0
Enkianthus perulatus,139897,1
Enkianthus sikokianus,142252,0
Enkianthus subsessilis,57739,0
Enkleia malaccensis,135803,1
Enneapogon desvauxii,74860,0
Enneopogon pallidus,88996.5,0
Entada,156819,1
Entada africana,149626,0
Entada gigas,45267,1
Entada polystachya,50930,0
Entada rheedii subsp. rheedii,54506,1
Entandrophragma,155446,0
Entandrophragma angolense,81891,0
Entandrophragma candollei,68410.16667,0
Entandrophragma caudatum,76727,0
Entandrophragma cylindricum,55412,0
Entandrophragma excelsum,71392.5,0
Entandrophragma utile,55413,0
Entelea arborescens,141307,1
Enterolobium,76733,0
Enterolobium barnebianum,61397.5,0
Enterolobium cyclocarpum,88058,0.318181818
Enterolobium ellipticum,78561,1
Enterolobium gummiferum,145971,0
Enterolobium maximum,78562,1
Enterolobium schomburgkii,60120.5,0.25
Enterolobium timbouva,156430,0
Enteropogon acicularis,89012.5,0
Enteropogon romasus,89026.5,0
Entolasia,137348,1
Entolasia stricta,7963,1
Epacridaceae small,76917.5,1
Epacris,70271.33333,1
Epacris apsleyensis,141781,1
Epacris breviflora,139898,1
Epacris celata,142253,1
Epacris crassifolia,142254,1
Epacris glacialis,142255,1
Epacris gunnii,139899,1
Epacris hamiltonii,142256,1
Epacris impressa,152276.3333,1
Epacris lanuginosa,118701,1
Epacris longiflora,69631.2,1
Epacris marginata,141782,1
Epacris microphylla,59991,1
Epacris moscalianus,141783,1
Epacris obtusifolia,69230.75,1
Epacris paludosa,75113.5,1
Epacris pauciflora,57861,1
Epacris pulchella,55489.7,1
Epacris purpurascens,142258,1
Epacris rigida,142259,1
Epacris robusta,142260,1
Epacris serpyllifolia,67998.75,1
Epacris squarrosa,141807,1
Epacris tameiameiae,145196,1
Epacris virgata,141784,1
Eperua bijuga,149441,1
Eperua duckeana,78709.5,1
Eperua falcata,92090.52632,0.947368421
Eperua glabriflora,76069.66667,1
Eperua grandiflora,66336.625,1
Eperua jenmanii,156431.5,1
Eperua leucantha,55124.40741,0.962962963
Eperua purpurea,56644.52381,1
Ephedra,135447,1
Ephedra alata - alenda,76737,1
Ephedra americana,143041,1
Ephedra distachya,99884.11111,0.888888889
Ephedra fragilis,106884.6667,0.666666667
Ephedra gerardiana,143044,1
Ephedra intermedia,52249,0
Ephedra major,79365,0.333333333
Ephedra monosperma,95894.5,0
Ephedra przewalskii,44141.75,0.75
Ephedra regeliana,103797,1
Ephedra sinica,48422.66667,0.833333333
Ephedra torreyana,76738,1
Ephedra triandra,105397,1
Ephedra viridis,73643.5,1
Ephippiandra,136080,1
Ephippiandra madagascariensis,155456,1
Epidendron,138116,1
Epidendrum,138097,1
Epigaea repens,52328.5,0
Epigynum ridleyi,157582,1
Epilobium,138078,1
Epilobium alpestre,17862,1
Epilobium alsinifolium,77971,1
Epilobium anagallidifolium,17864,1
Epilobium angustifolium,43712.72414,0
Epilobium angustifolium subsp. circumvagum,138086,0
Epilobium brachycarpum,42389,0
Epilobium ciliatum,35073.33333,1
Epilobium collinum,77973.5,0.5
Epilobium dodonaei,17868,1
Epilobium fleischeri,138081,1
Epilobium hirsutum,37985.4,0
Epilobium lanceolatum,17871,0
Epilobium montanum,20944,0.333333333
Epilobium nutans,17873,1
Epilobium obscurum,30600,1
Epilobium palustre,30601,0
Epilobium parviflorum,30602,1
Epilobium tetragonum,17877,1
Epilobium tetragonum subsp. lamyi,17870,1
Epimedium versicolor,73444,1
Epimeredi,73377,1
Epipactis albensis,17878,0
Epipactis atrorubens,17879,0
Epipactis greuteri,17882,0
Epipactis helleborine,35633.5,0
Epipactis helleborine subsp. orbicularis,17881,0
Epipactis leptochila,17886,0
Epipactis microphylla,17885,0
Epipactis muelleri,17886,0
Epipactis palustris,17887,0
Epipactis phyllanthes,17884.5,0
Epipactis purpurata,17890,0
Epipogium aphyllum,17891,0
Epipremnum,137486,1
Epipremnum amplissimum,72009,1
Epipremnum pinnatum,136560,1
Equisetum,136674,1
Equisetum arvense,101735.1667,0.666666667
Equisetum fluviatile,113576.4444,0.888888889
Equisetum hyemale,108784.7778,0.888888889
Equisetum laevigatum,136678,1
Equisetum litorale,136673,1
Equisetum palustre,100561.75,0.75
Equisetum pratense,118438.5625,0.9375
Equisetum ramosissimum,100569.25,0.75
Equisetum scirpoides,130266.5,1
Equisetum sylvaticum,119200.5714,0.952380952
Equisetum telmateia,77291.5,0.5
Equisetum trachyodon,136672,1
Equisetum variegatum,77292.5,1
Equisetum x litorale,17901,0
Equisetum x mackaii,17902,1
Equisetum x moorei,136671,1
Eragrostis,92239.86667,0.066666667
Eragrostis amabilis,72639.75,1
Eragrostis cilianensis,42448.4,0.2
Eragrostis ciliaris,137173,1
Eragrostis cumingii,72692.5,1
Eragrostis elongata,137174,0
Eragrostis lehmanniana,92824.0119,0
Eragrostis mexicana,36533.5,0
Eragrostis minor,45269.88889,0.222222222
