plot_id,,year,longitude,latitude,Biome,info_coverage,leaf_habit,sum_dbh,sum_tpd,num_ind
p650614,0,2001,-151.5081,60.04679999999999,Boreal forests or taiga,1.0,40.42434405555555,456.18400000000014,267.56226000000004,18
p650615,0,2001,-151.41169999999997,60.04244,Boreal forests or taiga,1.0,100.0,131.826,288.04622000000006,7
p650617,0,2001,-151.2399,60.043869999999984,Boreal forests or taiga,1.0,100.0,121.92,104.05199,7
p650618,0,2001,-151.1496,60.03526,Boreal forests or taiga,1.0,100.0,17.526,14.86457,1
p650619,0,2001,-150.908,60.03206,Boreal forests or taiga,1.0,67.50418766666667,55.118,44.593709999999994,3
p6507,0,2007,107.43899999999998,15.91471000000001,Tropical moist broadleaf forests,0.8275862068965517,93.99538666666666,845.0,617.2232399999998,29
p65074,0,2010,11.658999999999995,63.71900000000003,Boreal forests or taiga,1.0,100.0,367.9,960.0,24
p6508,0,2010,95.94918999999986,27.478610000000014,Tropical moist broadleaf forests,0.453125,86.98004068965521,2441.3731,256.0,128
p650874,0,1996,-133.60239999999988,56.83384,Temperate conifer forests,1.0,100.0,602.9960000000002,615.0667599999998,29
p650905,0,1996,-133.04729999999998,56.6381,Temperate conifer forests,1.0,100.0,723.138,252.69769,17
p65092,0,2014,11.842000000000004,63.71399999999996,Boreal forests or taiga,1.0,85.0,267.1,800.0,20
p651,0,1998,-61.86556,-16.70139,Tropical dry broadleaf forests,0.3333333333333333,50.0,39.0,300.0,3
p651072,0,1997,-133.0569,56.101940000000006,Temperate conifer forests,1.0,100.0,690.6260000000002,769.3318499999997,27
p651097,0,1998,-135.32880000000014,59.61637999999999,Tundra,1.0,100.0,996.696,932.8421199999997,38
p651098,0,1998,-135.8497000000003,59.651630000000075,Tundra,1.0,100.0,2517.394,1694.5609800000007,114
p651100,0,1998,-135.18630000000007,59.555910000000026,Tundra,1.0,68.47408835384614,1376.4260000000002,1150.19128,65
p651102,0,1998,-135.4555,59.5472,Tundra,1.0,100.0,210.56599999999997,74.32285,5
p651107,0,1998,-135.32369999999997,59.49746000000004,Tundra,1.0,93.1758988139535,1256.538,639.1765099999999,43
p651116,0,1998,-135.38960000000006,59.355030000000006,Tundra,1.0,56.34447818421053,866.648,564.8536599999999,38
p651124,0,1998,-135.18130000000008,59.28214000000002,Tundra,1.0,100.0,808.2279999999997,600.2021899999997,28
